id,depaAirport,arriAirport,td,ta
ddh_100001,DOMU,HZPW,2025/5/27 9:20,2025/5/27 11:00
ddh_100002,DOMU,HZPW,2025/5/28 9:20,2025/5/28 11:00
ddh_100003,DOMU,HZPW,2025/5/29 9:20,2025/5/29 11:00
ddh_100004,DOMU,HZPW,2025/5/30 9:20,2025/5/30 11:00
ddh_100005,DOMU,HZPW,2025/5/31 9:20,2025/5/31 11:00
ddh_100006,DOMU,HZPW,2025/6/1 9:20,2025/6/1 11:00
ddh_100007,DOMU,HZPW,2025/6/2 9:20,2025/6/2 11:00
ddh_100008,DOMU,HZPW,2025/6/3 9:20,2025/6/3 11:00
ddh_100009,DOMU,HZPW,2025/6/4 9:20,2025/6/4 11:00
ddh_100010,DOMU,HZPW,2025/6/5 9:20,2025/6/5 11:00
ddh_100011,DOMU,HZPW,2025/5/27 12:05,2025/5/27 14:00
ddh_100012,DOMU,HZPW,2025/5/28 12:05,2025/5/28 14:00
ddh_100013,DOMU,HZPW,2025/5/29 12:05,2025/5/29 14:00
ddh_100014,DOMU,HZPW,2025/5/30 12:05,2025/5/30 14:00
ddh_100015,DOMU,HZPW,2025/5/31 12:05,2025/5/31 14:00
ddh_100016,DOMU,HZPW,2025/6/1 12:05,2025/6/1 14:00
ddh_100017,DOMU,HZPW,2025/6/2 12:05,2025/6/2 14:00
ddh_100018,DOMU,HZPW,2025/6/3 12:05,2025/6/3 14:00
ddh_100019,DOMU,HZPW,2025/6/4 12:05,2025/6/4 14:00
ddh_100020,DOMU,HZPW,2025/6/5 12:05,2025/6/5 14:00
ddh_100021,DOMU,HZPW,2025/5/27 12:40,2025/5/27 14:00
ddh_100022,DOMU,HZPW,2025/5/28 12:40,2025/5/28 14:00
ddh_100023,DOMU,HZPW,2025/5/29 12:40,2025/5/29 14:00
ddh_100024,DOMU,HZPW,2025/5/30 12:40,2025/5/30 14:00
ddh_100025,DOMU,HZPW,2025/5/31 12:40,2025/5/31 14:00
ddh_100026,DOMU,HZPW,2025/6/1 12:40,2025/6/1 14:00
ddh_100027,DOMU,HZPW,2025/6/2 12:40,2025/6/2 14:00
ddh_100028,DOMU,HZPW,2025/6/3 12:40,2025/6/3 14:00
ddh_100029,DOMU,HZPW,2025/6/4 12:40,2025/6/4 14:00
ddh_100030,DOMU,HZPW,2025/6/5 12:40,2025/6/5 14:00
ddh_100031,DOMU,HZPW,2025/5/27 15:05,2025/5/27 17:00
ddh_100032,DOMU,HZPW,2025/5/28 15:05,2025/5/28 17:00
ddh_100033,DOMU,HZPW,2025/5/29 15:05,2025/5/29 17:00
ddh_100034,DOMU,HZPW,2025/5/30 15:05,2025/5/30 17:00
ddh_100035,DOMU,HZPW,2025/5/31 15:05,2025/5/31 17:00
ddh_100036,DOMU,HZPW,2025/6/1 15:05,2025/6/1 17:00
ddh_100037,DOMU,HZPW,2025/6/2 15:05,2025/6/2 17:00
ddh_100038,DOMU,HZPW,2025/6/3 15:05,2025/6/3 17:00
ddh_100039,DOMU,HZPW,2025/6/4 15:05,2025/6/4 17:00
ddh_100040,DOMU,HZPW,2025/6/5 15:05,2025/6/5 17:00
ddh_100041,DOMU,HZPW,2025/5/27 15:35,2025/5/27 17:00
ddh_100042,DOMU,HZPW,2025/5/28 15:35,2025/5/28 17:00
ddh_100043,DOMU,HZPW,2025/5/29 15:35,2025/5/29 17:00
ddh_100044,DOMU,HZPW,2025/5/30 15:35,2025/5/30 17:00
ddh_100045,DOMU,HZPW,2025/5/31 15:35,2025/5/31 17:00
ddh_100046,DOMU,HZPW,2025/6/1 15:35,2025/6/1 17:00
ddh_100047,DOMU,HZPW,2025/6/2 15:35,2025/6/2 17:00
ddh_100048,DOMU,HZPW,2025/6/3 15:35,2025/6/3 17:00
ddh_100049,DOMU,HZPW,2025/6/4 15:35,2025/6/4 17:00
ddh_100050,DOMU,HZPW,2025/6/5 15:35,2025/6/5 17:00
ddh_100051,DOMU,HZPW,2025/5/27 19:20,2025/5/27 21:45
ddh_100052,DOMU,HZPW,2025/5/28 19:20,2025/5/28 21:45
ddh_100053,DOMU,HZPW,2025/5/29 19:20,2025/5/29 21:45
ddh_100054,DOMU,HZPW,2025/5/30 19:20,2025/5/30 21:45
ddh_100055,DOMU,HZPW,2025/5/31 19:20,2025/5/31 21:45
ddh_100056,DOMU,HZPW,2025/6/1 19:20,2025/6/1 21:45
ddh_100057,DOMU,HZPW,2025/6/2 19:20,2025/6/2 21:45
ddh_100058,DOMU,HZPW,2025/6/3 19:20,2025/6/3 21:45
ddh_100059,DOMU,HZPW,2025/6/4 19:20,2025/6/4 21:45
ddh_100060,DOMU,HZPW,2025/6/5 19:20,2025/6/5 21:45
ddh_100061,DOMU,AAHN,2025/5/27 6:00,2025/5/27 7:30
ddh_100062,DOMU,AAHN,2025/5/28 6:00,2025/5/28 7:30
ddh_100063,DOMU,AAHN,2025/5/29 6:00,2025/5/29 7:30
ddh_100064,DOMU,AAHN,2025/5/30 6:00,2025/5/30 7:30
ddh_100065,DOMU,AAHN,2025/5/31 6:00,2025/5/31 7:30
ddh_100066,DOMU,AAHN,2025/6/1 6:00,2025/6/1 7:30
ddh_100067,DOMU,AAHN,2025/6/2 6:00,2025/6/2 7:30
ddh_100068,DOMU,AAHN,2025/6/3 6:00,2025/6/3 7:30
ddh_100069,DOMU,AAHN,2025/6/4 6:00,2025/6/4 7:30
ddh_100070,DOMU,AAHN,2025/6/5 6:00,2025/6/5 7:30
ddh_100071,DOMU,AAHN,2025/5/27 10:30,2025/5/27 12:15
ddh_100072,DOMU,AAHN,2025/5/28 10:30,2025/5/28 12:15
ddh_100073,DOMU,AAHN,2025/5/29 10:30,2025/5/29 12:15
ddh_100074,DOMU,AAHN,2025/5/30 10:30,2025/5/30 12:15
ddh_100075,DOMU,AAHN,2025/5/31 10:30,2025/5/31 12:15
