id,flightNo,depaAirport,arriAirport,std,sta,fleet,aircraftNo,flyTime
Flt_100002,OM8357,DOMU,HIUP,2025/5/29 9:40,2025/5/29 11:40,7M8,Aft_10001,110
Flt_100003,OM8113,AAHN,NLLA,2025/5/29 9:45,2025/5/29 12:40,738,Aft_10002,164
Flt_100004,OM8077,HZPW,VOXP,2025/6/1 13:05,2025/6/1 14:30,738,Aft_10003,86
Flt_100005,OM8035,VOXP,XCHB,2025/5/29 17:15,2025/5/29 18:50,738,Aft_10004,97
Flt_100006,OM8165,HZPW,NLLA,2025/5/29 10:00,2025/5/29 12:40,738,Aft_10005,165
Flt_100007,OM8159,ZJCG,LFOL,2025/5/29 16:50,2025/5/29 18:20,737GY,Aft_10006,85
Flt_100008,OM8270,FVJZ,HZPW,2025/5/29 11:30,2025/5/29 14:05,738,Aft_10007,149
Flt_100009,OM8069,OXSQ,OKJK,2025/5/29 7:40,2025/5/29 9:50,738,Aft_10008,122
Flt_100010,OM8385,AAHN,PNNF,2025/5/29 11:15,2025/5/29 12:50,738,Aft_10009,99
Flt_100011,OM8386,PNNF,AAHN,2025/5/29 14:10,2025/5/29 15:45,738,Aft_10009,79
Flt_100012,OM8490,KKME,HZPW,2025/5/29 18:30,2025/5/29 21:05,738,Aft_10007,133
Flt_100013,OM8215,FVJZ,KDAX,2025/6/1 16:50,2025/6/1 18:05,738,Aft_10010,55
Flt_100014,OM8426,XLHA,DOMU,2025/6/1 20:15,2025/6/1 23:05,7M8,Aft_10011,140
Flt_100015,OM8818,HIUP,OETZ,2025/6/1 16:50,2025/6/1 19:00,738,Aft_10012,116
Flt_100016,OM8229,EYWR,OETZ,2025/6/1 7:50,2025/6/1 10:10,738,Aft_10013,139
Flt_100017,OM8309,BBZB,OXSQ,2025/6/1 10:50,2025/6/1 13:35,738,Aft_10014,156
Flt_100018,OM8093,PZYH,HEJY,2025/5/29 14:35,2025/5/29 17:10,738,Aft_10015,158
Flt_100019,OM8161,HZPW,MPYS,2025/5/29 8:10,2025/5/29 10:40,738,Aft_10016,162
Flt_100020,OM8728,VDBQ,HZPW,2025/5/29 12:50,2025/5/29 16:20,738,Aft_10017,192
Flt_100021,OM8810,ZJCG,DSQK,2025/6/1 18:20,2025/6/1 19:50,738,Aft_10018,82
Flt_100022,OM8810,DSQK,AAHN,2025/6/1 21:00,2025/6/1 22:40,738,Aft_10018,94
Flt_100023,OM8303,KKME,VWIM,2025/6/1 8:35,2025/6/1 10:45,738,Aft_10019,114
Flt_100024,OM8345,EYWR,VWIM,2025/6/1 10:40,2025/6/1 13:15,738,Aft_10020,137
Flt_100025,OM898,MCVK,HZPW,2025/6/1 17:00,2025/6/1 21:45,738,Aft_10021,273
Flt_100026,OM8276,MCWT,OXSQ,2025/6/1 15:50,2025/6/1 20:30,738,Aft_10022,257
Flt_100027,OM8273,HZPW,HIUP,2025/6/1 11:55,2025/6/1 13:50,738,Aft_10023,110
Flt_100028,OM8958,ISKH,HIUP,2025/5/29 12:25,2025/5/29 13:45,738,Aft_10024,78
Flt_100029,OM848,MCVK,DOMU,2025/5/29 14:40,2025/5/29 18:55,738,Aft_10025,260
Flt_100030,OM8044,EYWR,VWIM,2025/5/29 19:15,2025/5/29 21:30,738,Aft_10026,137
Flt_100031,OM8557,AAHN,AFPF,2025/5/29 7:10,2025/5/29 8:45,738,Aft_10027,89
Flt_100032,OM8606,XLOC,HZPW,2025/5/29 17:30,2025/5/29 19:30,738,Aft_10028,114
Flt_100033,OM8778,PZYH,KKME,2025/6/1 20:15,2025/6/1 22:55,738,Aft_10029,158
Flt_100034,OM8603,EYWR,HIUP,2025/5/29 7:20,2025/5/29 9:00,738,Aft_10030,103
Flt_100035,OM8129,EYWR,NLLA,2025/5/29 18:40,2025/5/29 20:45,738,Aft_10030,133
Flt_100036,OM8457,EYWR,VGVC,2025/5/29 9:10,2025/5/29 11:35,738,Aft_10031,170
Flt_100037,OM8136,OETZ,DOMU,2025/6/1 7:05,2025/6/1 9:45,738,Aft_10032,166
Flt_100038,OM8421,DOMU,YITW,2025/6/1 10:45,2025/6/1 14:00,738,Aft_10032,180
Flt_100039,OM8621,KKME,OETZ,2025/5/30 19:30,2025/5/30 22:20,738,Aft_10033,145
Flt_100040,OM833,DOMU,KDAP,2025/5/30 14:10,2025/5/30 17:40,738,Aft_10034,214
Flt_100041,OM8555,NLLA,YAFY,2025/5/30 17:30,2025/5/30 19:40,738,Aft_10035,123
Flt_100042,OM8045,SFRI,XCHB,2025/5/30 10:20,2025/5/30 12:30,738,Aft_10014,114
Flt_100043,OM8046,XCHB,SFRI,2025/5/30 13:30,2025/5/30 15:30,738,Aft_10014,118
Flt_100044,OM872,FPCR,DOMU,2025/5/30 12:30,2025/5/30 15:20,738,Aft_10036,193
Flt_100045,OM8334,OXSQ,DOMU,2025/5/30 13:15,2025/5/30 14:50,738,Aft_10037,90
Flt_100046,OM8030,HIUP,KKME,2025/5/30 21:35,2025/5/30 23:20,738,Aft_10038,102
Flt_100047,OM8865,AAHN,KKME,2025/5/30 11:50,2025/5/30 14:20,738,Aft_10021,169
Flt_100048,OM8511,DOMU,GLHV,2025/5/30 9:00,2025/5/30 11:00,738,Aft_10039,92
Flt_100049,OM820,FXWC,DOMU,2025/5/30 21:00,2025/5/30 23:30,738,Aft_10040,141
Flt_100050,OM8855,HZPW,VHLB,2025/5/30 9:15,2025/5/30 12:00,738,Aft_10041,174
Flt_100051,OM8689,EYWR,SJQD,2025/5/30 9:40,2025/5/30 11:45,738,Aft_10042,112
Flt_100052,OM8244,SFRI,DOMU,2025/5/30 22:00,2025/5/31 0:30,738,Aft_10043,138
Flt_100053,OM8606,XLOC,HZPW,2025/5/30 17:30,2025/5/30 19:35,737GY,Aft_10044,114
Flt_100054,OM8215,FVJZ,KDAX,2025/5/30 16:50,2025/5/30 18:05,738,Aft_10045,55
Flt_100055,OM823,DOMU,MCVK,2025/5/30 19:35,2025/5/30 23:50,738,Aft_10046,270
Flt_100056,OM8618,OXSQ,HZPW,2025/5/30 16:20,2025/5/30 18:15,738,Aft_10047,84
