id,depaAirport,arriAirport,td,ta
ddh_10001,VIOC,XKVP,2025/4/29 15:55,2025/4/29 18:30
ddh_10002,VIOC,XKVP,2025/4/30 15:55,2025/4/30 18:30
ddh_10003,VIOC,XKVP,2025/5/1 15:55,2025/5/1 18:30
ddh_10004,VIOC,XKVP,2025/5/2 15:55,2025/5/2 18:30
ddh_10005,VIOC,XKVP,2025/5/3 15:55,2025/5/3 18:30
ddh_10006,VIOC,XKVP,2025/5/4 15:55,2025/5/4 18:30
ddh_10007,VIOC,XKVP,2025/5/5 15:55,2025/5/5 18:30
ddh_10008,VIOC,XKVP,2025/5/6 15:55,2025/5/6 18:30
ddh_10009,VIOC,XKVP,2025/5/7 15:55,2025/5/7 18:30
ddh_10011,RRES,VIOC,2025/4/29 11:30,2025/4/29 12:33
ddh_10012,RRES,VIOC,2025/4/30 11:30,2025/4/30 12:33
ddh_10013,RRES,VIOC,2025/5/1 11:30,2025/5/1 12:33
ddh_10014,RRES,VIOC,2025/5/2 11:30,2025/5/2 12:33
ddh_10015,RRES,VIOC,2025/5/3 11:30,2025/5/3 12:33
ddh_10016,RRES,VIOC,2025/5/4 11:30,2025/5/4 12:33
ddh_10017,RRES,VIOC,2025/5/5 11:30,2025/5/5 12:33
ddh_10018,RRES,VIOC,2025/5/6 11:30,2025/5/6 12:33
ddh_10019,RRES,VIOC,2025/5/7 11:30,2025/5/7 12:33
ddh_10021,TATC,ZLEQ,2025/4/29 14:50,2025/4/29 18:39
ddh_10022,TATC,ZLEQ,2025/4/30 14:50,2025/4/30 18:39
ddh_10023,TATC,ZLEQ,2025/5/1 14:50,2025/5/1 18:39
ddh_10024,TATC,ZLEQ,2025/5/2 14:50,2025/5/2 18:39
ddh_10025,TATC,ZLEQ,2025/5/3 14:50,2025/5/3 18:39
ddh_10026,TATC,ZLEQ,2025/5/4 14:50,2025/5/4 18:39
ddh_10027,TATC,ZLEQ,2025/5/5 14:50,2025/5/5 18:39
ddh_10028,TATC,ZLEQ,2025/5/6 14:50,2025/5/6 18:39
ddh_10029,TATC,ZLEQ,2025/5/7 14:50,2025/5/7 18:39
ddh_10031,CVBE,ZLEQ,2025/4/29 11:10,2025/4/29 12:46
ddh_10032,CVBE,ZLEQ,2025/4/30 11:10,2025/4/30 12:46
ddh_10033,CVBE,ZLEQ,2025/5/1 11:10,2025/5/1 12:46
ddh_10034,CVBE,ZLEQ,2025/5/2 11:10,2025/5/2 12:46
ddh_10035,CVBE,ZLEQ,2025/5/3 11:10,2025/5/3 12:46
ddh_10036,CVBE,ZLEQ,2025/5/4 11:10,2025/5/4 12:46
ddh_10037,CVBE,ZLEQ,2025/5/5 11:10,2025/5/5 12:46
ddh_10038,CVBE,ZLEQ,2025/5/6 11:10,2025/5/6 12:46
ddh_10039,CVBE,ZLEQ,2025/5/7 11:10,2025/5/7 12:46
ddh_10041,XKVP,VIOC,2025/4/29 8:20,2025/4/29 11:25
ddh_10042,XKVP,VIOC,2025/4/30 8:20,2025/4/30 11:25
ddh_10043,XKVP,VIOC,2025/5/1 8:20,2025/5/1 11:25
ddh_10044,XKVP,VIOC,2025/5/2 8:20,2025/5/2 11:25
ddh_10045,XKVP,VIOC,2025/5/3 8:20,2025/5/3 11:25
ddh_10046,XKVP,VIOC,2025/5/4 8:20,2025/5/4 11:25
ddh_10047,XKVP,VIOC,2025/5/5 8:20,2025/5/5 11:25
ddh_10048,XKVP,VIOC,2025/5/6 8:20,2025/5/6 11:25
ddh_10049,XKVP,VIOC,2025/5/7 8:20,2025/5/7 11:25
ddh_10051,ZLEQ,TATC,2025/4/29 12:00,2025/4/29 19:00
ddh_10052,ZLEQ,TATC,2025/4/30 12:00,2025/4/30 19:00
ddh_10053,ZLEQ,TATC,2025/5/1 12:00,2025/5/1 19:00
ddh_10054,ZLEQ,TATC,2025/5/2 12:00,2025/5/2 19:00
ddh_10055,ZLEQ,TATC,2025/5/3 12:00,2025/5/3 19:00
ddh_10056,ZLEQ,TATC,2025/5/4 12:00,2025/5/4 19:00
ddh_10057,ZLEQ,TATC,2025/5/5 12:00,2025/5/5 19:00
ddh_10058,ZLEQ,TATC,2025/5/6 12:00,2025/5/6 19:00
ddh_10059,ZLEQ,TATC,2025/5/7 12:00,2025/5/7 19:00
ddh_10061,ZLEQ,TATC,2025/4/29 12:59,2025/4/29 16:56
ddh_10062,ZLEQ,TATC,2025/4/30 12:59,2025/4/30 16:56
ddh_10063,ZLEQ,TATC,2025/5/1 12:59,2025/5/1 16:56
ddh_10064,ZLEQ,TATC,2025/5/2 12:59,2025/5/2 16:56
ddh_10065,ZLEQ,TATC,2025/5/3 12:59,2025/5/3 16:56
ddh_10066,ZLEQ,TATC,2025/5/4 12:59,2025/5/4 16:56
ddh_10067,ZLEQ,TATC,2025/5/5 12:59,2025/5/5 16:56
ddh_10068,ZLEQ,TATC,2025/5/6 12:59,2025/5/6 16:56
ddh_10069,ZLEQ,TATC,2025/5/7 12:59,2025/5/7 16:56
ddh_10071,TATC,ZLEQ,2025/4/29 12:00,2025/4/29 20:00
ddh_10072,TATC,ZLEQ,2025/4/30 12:00,2025/4/30 20:00
ddh_10073,TATC,ZLEQ,2025/5/1 12:00,2025/5/1 20:00
ddh_10074,TATC,ZLEQ,2025/5/2 12:00,2025/5/2 20:00
ddh_10075,TATC,ZLEQ,2025/5/3 12:00,2025/5/3 20:00
ddh_10076,TATC,ZLEQ,2025/5/4 12:00,2025/5/4 20:00
ddh_10077,TATC,ZLEQ,2025/5/5 12:00,2025/5/5 20:00
ddh_10078,TATC,ZLEQ,2025/5/6 12:00,2025/5/6 20:00
ddh_10079,TATC,ZLEQ,2025/5/7 12:00,2025/5/7 20:00
ddh_10081,VIOC,XKVP,2025/4/29 12:25,2025/4/29 15:05
ddh_10082,VIOC,XKVP,2025/4/30 12:25,2025/4/30 15:05
ddh_10083,VIOC,XKVP,2025/5/1 12:25,2025/5/1 15:05
ddh_10084,VIOC,XKVP,2025/5/2 12:25,2025/5/2 15:05
ddh_10085,VIOC,XKVP,2025/5/3 12:25,2025/5/3 15:05
ddh_10086,VIOC,XKVP,2025/5/4 12:25,2025/5/4 15:05
ddh_10087,VIOC,XKVP,2025/5/5 12:25,2025/5/5 15:05
ddh_10088,VIOC,XKVP,2025/5/6 12:25,2025/5/6 15:05
ddh_10089,VIOC,XKVP,2025/5/7 12:25,2025/5/7 15:05
ddh_10091,TATC,ZLEQ,2025/4/29 15:02,2025/4/29 18:50
ddh_10092,TATC,ZLEQ,2025/4/30 15:02,2025/4/30 18:50
ddh_10093,TATC,ZLEQ,2025/5/1 15:02,2025/5/1 18:50
ddh_10094,TATC,ZLEQ,2025/5/2 15:02,2025/5/2 18:50
ddh_10095,TATC,ZLEQ,2025/5/3 15:02,2025/5/3 18:50
ddh_10096,TATC,ZLEQ,2025/5/4 15:02,2025/5/4 18:50
ddh_10097,TATC,ZLEQ,2025/5/5 15:02,2025/5/5 18:50
ddh_10098,TATC,ZLEQ,2025/5/6 15:02,2025/5/6 18:50
ddh_10099,TATC,ZLEQ,2025/5/7 15:02,2025/5/7 18:50
ddh_10101,VIOC,RRES,2025/4/29 15:20,2025/4/29 17:40
ddh_10102,VIOC,RRES,2025/4/30 15:20,2025/4/30 17:40
ddh_10103,VIOC,RRES,2025/5/1 15:20,2025/5/1 17:40
ddh_10104,VIOC,RRES,2025/5/2 15:20,2025/5/2 17:40
ddh_10105,VIOC,RRES,2025/5/3 15:20,2025/5/3 17:40
ddh_10106,VIOC,RRES,2025/5/4 15:20,2025/5/4 17:40
ddh_10107,VIOC,RRES,2025/5/5 15:20,2025/5/5 17:40
ddh_10108,VIOC,RRES,2025/5/6 15:20,2025/5/6 17:40
ddh_10109,VIOC,RRES,2025/5/7 15:20,2025/5/7 17:40
ddh_10111,TATC,ZLEQ,2025/4/29 9:48,2025/4/29 13:32
ddh_10112,TATC,ZLEQ,2025/4/30 9:48,2025/4/30 13:32
ddh_10113,TATC,ZLEQ,2025/5/1 9:48,2025/5/1 13:32
ddh_10114,TATC,ZLEQ,2025/5/2 9:48,2025/5/2 13:32
ddh_10115,TATC,ZLEQ,2025/5/3 9:48,2025/5/3 13:32
ddh_10116,TATC,ZLEQ,2025/5/4 9:48,2025/5/4 13:32
ddh_10117,TATC,ZLEQ,2025/5/5 9:48,2025/5/5 13:32
ddh_10118,TATC,ZLEQ,2025/5/6 9:48,2025/5/6 13:32
ddh_10119,TATC,ZLEQ,2025/5/7 9:48,2025/5/7 13:32
ddh_10121,VIOC,RRES,2025/4/29 10:02,2025/4/29 11:21
ddh_10122,VIOC,RRES,2025/4/30 10:02,2025/4/30 11:21
ddh_10123,VIOC,RRES,2025/5/1 10:02,2025/5/1 11:21
ddh_10124,VIOC,RRES,2025/5/2 10:02,2025/5/2 11:21
ddh_10125,VIOC,RRES,2025/5/3 10:02,2025/5/3 11:21
ddh_10126,VIOC,RRES,2025/5/4 10:02,2025/5/4 11:21
ddh_10127,VIOC,RRES,2025/5/5 10:02,2025/5/5 11:21
ddh_10128,VIOC,RRES,2025/5/6 10:02,2025/5/6 11:21
ddh_10129,VIOC,RRES,2025/5/7 10:02,2025/5/7 11:21
ddh_10131,TATC,ZLEQ,2025/4/29 14:06,2025/4/29 17:48
ddh_10132,TATC,ZLEQ,2025/4/30 14:06,2025/4/30 17:48
ddh_10133,TATC,ZLEQ,2025/5/1 14:06,2025/5/1 17:48
ddh_10134,TATC,ZLEQ,2025/5/2 14:06,2025/5/2 17:48
ddh_10135,TATC,ZLEQ,2025/5/3 14:06,2025/5/3 17:48
ddh_10136,TATC,ZLEQ,2025/5/4 14:06,2025/5/4 17:48
ddh_10137,TATC,ZLEQ,2025/5/5 14:06,2025/5/5 17:48
ddh_10138,TATC,ZLEQ,2025/5/6 14:06,2025/5/6 17:48
ddh_10139,TATC,ZLEQ,2025/5/7 14:06,2025/5/7 17:48
ddh_10141,TATC,ZLEQ,2025/4/29 11:25,2025/4/29 14:32
ddh_10142,TATC,ZLEQ,2025/4/30 11:25,2025/4/30 14:32
ddh_10143,TATC,ZLEQ,2025/5/1 11:25,2025/5/1 14:32
ddh_10144,TATC,ZLEQ,2025/5/2 11:25,2025/5/2 14:32
ddh_10145,TATC,ZLEQ,2025/5/3 11:25,2025/5/3 14:32
ddh_10146,TATC,ZLEQ,2025/5/4 11:25,2025/5/4 14:32
ddh_10147,TATC,ZLEQ,2025/5/5 11:25,2025/5/5 14:32
ddh_10148,TATC,ZLEQ,2025/5/6 11:25,2025/5/6 14:32
ddh_10149,TATC,ZLEQ,2025/5/7 11:25,2025/5/7 14:32
ddh_10151,TATC,ZLEQ,2025/4/29 14:01,2025/4/29 17:55
ddh_10152,TATC,ZLEQ,2025/4/30 14:01,2025/4/30 17:55
ddh_10153,TATC,ZLEQ,2025/5/1 14:01,2025/5/1 17:55
ddh_10154,TATC,ZLEQ,2025/5/2 14:01,2025/5/2 17:55
ddh_10155,TATC,ZLEQ,2025/5/3 14:01,2025/5/3 17:55
ddh_10156,TATC,ZLEQ,2025/5/4 14:01,2025/5/4 17:55
ddh_10157,TATC,ZLEQ,2025/5/5 14:01,2025/5/5 17:55
ddh_10158,TATC,ZLEQ,2025/5/6 14:01,2025/5/6 17:55
ddh_10159,TATC,ZLEQ,2025/5/7 14:01,2025/5/7 17:55
ddh_10161,RRES,TATC,2025/4/29 16:09,2025/4/29 21:45
ddh_10162,RRES,TATC,2025/4/30 16:09,2025/4/30 21:45
ddh_10163,RRES,TATC,2025/5/1 16:09,2025/5/1 21:45
ddh_10164,RRES,TATC,2025/5/2 16:09,2025/5/2 21:45
ddh_10165,RRES,TATC,2025/5/3 16:09,2025/5/3 21:45
ddh_10166,RRES,TATC,2025/5/4 16:09,2025/5/4 21:45
ddh_10167,RRES,TATC,2025/5/5 16:09,2025/5/5 21:45
ddh_10168,RRES,TATC,2025/5/6 16:09,2025/5/6 21:45
ddh_10169,RRES,TATC,2025/5/7 16:09,2025/5/7 21:45
ddh_10171,RRES,ZLEQ,2025/4/29 21:44,2025/4/29 22:59
ddh_10172,RRES,ZLEQ,2025/4/30 21:44,2025/4/30 22:59
ddh_10173,RRES,ZLEQ,2025/5/1 21:44,2025/5/1 22:59
ddh_10174,RRES,ZLEQ,2025/5/2 21:44,2025/5/2 22:59
ddh_10175,RRES,ZLEQ,2025/5/3 21:44,2025/5/3 22:59
ddh_10176,RRES,ZLEQ,2025/5/4 21:44,2025/5/4 22:59
ddh_10177,RRES,ZLEQ,2025/5/5 21:44,2025/5/5 22:59
ddh_10178,RRES,ZLEQ,2025/5/6 21:44,2025/5/6 22:59
ddh_10179,RRES,ZLEQ,2025/5/7 21:44,2025/5/7 22:59
ddh_10181,RRES,ZLEQ,2025/4/29 13:03,2025/4/29 15:02
ddh_10182,RRES,ZLEQ,2025/4/30 13:03,2025/4/30 15:02
ddh_10183,RRES,ZLEQ,2025/5/1 13:03,2025/5/1 15:02
ddh_10184,RRES,ZLEQ,2025/5/2 13:03,2025/5/2 15:02
ddh_10185,RRES,ZLEQ,2025/5/3 13:03,2025/5/3 15:02
ddh_10186,RRES,ZLEQ,2025/5/4 13:03,2025/5/4 15:02
ddh_10187,RRES,ZLEQ,2025/5/5 13:03,2025/5/5 15:02
ddh_10188,RRES,ZLEQ,2025/5/6 13:03,2025/5/6 15:02
ddh_10189,RRES,ZLEQ,2025/5/7 13:03,2025/5/7 15:02
ddh_10191,ZLEQ,TATC,2025/4/29 18:43,2025/4/29 22:36
ddh_10192,ZLEQ,TATC,2025/4/30 18:43,2025/4/30 22:36
ddh_10193,ZLEQ,TATC,2025/5/1 18:43,2025/5/1 22:36
ddh_10194,ZLEQ,TATC,2025/5/2 18:43,2025/5/2 22:36
ddh_10195,ZLEQ,TATC,2025/5/3 18:43,2025/5/3 22:36
ddh_10196,ZLEQ,TATC,2025/5/4 18:43,2025/5/4 22:36
ddh_10197,ZLEQ,TATC,2025/5/5 18:43,2025/5/5 22:36
ddh_10198,ZLEQ,TATC,2025/5/6 18:43,2025/5/6 22:36
ddh_10199,ZLEQ,TATC,2025/5/7 18:43,2025/5/7 22:36
ddh_10201,ZLEQ,RRES,2025/4/29 8:52,2025/4/29 11:23
ddh_10202,ZLEQ,RRES,2025/4/30 8:52,2025/4/30 11:23
ddh_10203,ZLEQ,RRES,2025/5/1 8:52,2025/5/1 11:23
ddh_10204,ZLEQ,RRES,2025/5/2 8:52,2025/5/2 11:23
ddh_10205,ZLEQ,RRES,2025/5/3 8:52,2025/5/3 11:23
ddh_10206,ZLEQ,RRES,2025/5/4 8:52,2025/5/4 11:23
ddh_10207,ZLEQ,RRES,2025/5/5 8:52,2025/5/5 11:23
ddh_10208,ZLEQ,RRES,2025/5/6 8:52,2025/5/6 11:23
ddh_10209,ZLEQ,RRES,2025/5/7 8:52,2025/5/7 11:23
ddh_10211,ZLEQ,TATC,2025/4/29 19:35,2025/4/29 23:21
ddh_10212,ZLEQ,TATC,2025/4/30 19:35,2025/4/30 23:21
ddh_10213,ZLEQ,TATC,2025/5/1 19:35,2025/5/1 23:21
ddh_10214,ZLEQ,TATC,2025/5/2 19:35,2025/5/2 23:21
ddh_10215,ZLEQ,TATC,2025/5/3 19:35,2025/5/3 23:21
ddh_10216,ZLEQ,TATC,2025/5/4 19:35,2025/5/4 23:21
ddh_10217,ZLEQ,TATC,2025/5/5 19:35,2025/5/5 23:21
ddh_10218,ZLEQ,TATC,2025/5/6 19:35,2025/5/6 23:21
ddh_10219,ZLEQ,TATC,2025/5/7 19:35,2025/5/7 23:21
ddh_10221,ZLEQ,ENDP,2025/4/29 9:15,2025/4/29 11:40
ddh_10222,ZLEQ,ENDP,2025/4/30 9:15,2025/4/30 11:40
ddh_10223,ZLEQ,ENDP,2025/5/1 9:15,2025/5/1 11:40
ddh_10224,ZLEQ,ENDP,2025/5/2 9:15,2025/5/2 11:40
ddh_10225,ZLEQ,ENDP,2025/5/3 9:15,2025/5/3 11:40
ddh_10226,ZLEQ,ENDP,2025/5/4 9:15,2025/5/4 11:40
ddh_10227,ZLEQ,ENDP,2025/5/5 9:15,2025/5/5 11:40
ddh_10228,ZLEQ,ENDP,2025/5/6 9:15,2025/5/6 11:40
ddh_10229,ZLEQ,ENDP,2025/5/7 9:15,2025/5/7 11:40
ddh_10231,CVBE,ZLEQ,2025/4/29 18:46,2025/4/29 20:22
ddh_10232,CVBE,ZLEQ,2025/4/30 18:46,2025/4/30 20:22
ddh_10233,CVBE,ZLEQ,2025/5/1 18:46,2025/5/1 20:22
ddh_10234,CVBE,ZLEQ,2025/5/2 18:46,2025/5/2 20:22
ddh_10235,CVBE,ZLEQ,2025/5/3 18:46,2025/5/3 20:22
ddh_10236,CVBE,ZLEQ,2025/5/4 18:46,2025/5/4 20:22
ddh_10237,CVBE,ZLEQ,2025/5/5 18:46,2025/5/5 20:22
ddh_10238,CVBE,ZLEQ,2025/5/6 18:46,2025/5/6 20:22
ddh_10239,CVBE,ZLEQ,2025/5/7 18:46,2025/5/7 20:22
ddh_10241,VIOC,RRES,2025/4/29 20:30,2025/4/29 22:00
ddh_10242,VIOC,RRES,2025/4/30 20:30,2025/4/30 22:00
ddh_10243,VIOC,RRES,2025/5/1 20:30,2025/5/1 22:00
ddh_10244,VIOC,RRES,2025/5/2 20:30,2025/5/2 22:00
ddh_10245,VIOC,RRES,2025/5/3 20:30,2025/5/3 22:00
ddh_10246,VIOC,RRES,2025/5/4 20:30,2025/5/4 22:00
ddh_10247,VIOC,RRES,2025/5/5 20:30,2025/5/5 22:00
