crewId,base,stayStation
Crew_10002,RTWL,RTWL
Crew_10003,RRES,RRES
Crew_10004,VIOC,VIOC
Crew_10005,RRES,RRES
Crew_10006,RRES,BTTC
Crew_10007,RRES,RRES
Crew_10010,RRES,SLPJ
Crew_10012,VIOC,XVFW
Crew_10013,RTHW,RTHW
Crew_10014,VIOC,VIOC
Crew_10015,VIOC,VIOC
Crew_10016,TATC,TATC
Crew_10017,VIOC,VIOC
Crew_10018,VIOC,VIOC
Crew_10019,RTHW,RTHW
Crew_10020,RRES,VIOC
Crew_10023,RTHW,RTHW
Crew_10024,VIOC,VIOC
Crew_10025,VIOC,VIOC
Crew_10026,RRES,BTTC
Crew_10028,VIOC,VIOC
Crew_10029,VIOC,TATC
Crew_10030,VIOC,VIOC
Crew_10031,VIOC,VIOC
Crew_10032,RRES,RRES
Crew_10033,RRES,XVFW
Crew_10034,RRES,RRES
Crew_10035,RRES,RRES
Crew_10037,VWSF,VWSF
Crew_10040,VIOC,VIOC
Crew_10041,VIOC,VIOC
Crew_10043,RRES,RRES
Crew_10044,VIOC,VIOC
Crew_10045,RTHW,RTHW
Crew_10046,VIOC,VIOC
Crew_10047,RRES,RRES
Crew_10048,RRES,SLPJ
Crew_10049,VIOC,VIOC
Crew_10050,VIOC,VIOC
Crew_10051,VIOC,YTYE
Crew_10052,RRES,TPWY
Crew_10053,RTHW,TPWY
Crew_10054,VIOC,VIOC
Crew_10055,RRES,RRES
Crew_10056,VIOC,TATC
Crew_10057,RRES,RRES
Crew_10059,RRES,RRES
Crew_10061,RTHW,TPWY
Crew_10062,RRES,TPWY
Crew_10065,VIOC,VIOC
Crew_10066,RRES,VIOC
Crew_10067,RRES,RRES
Crew_10069,VIOC,VIOC
Crew_10070,RTHW,TPWY
Crew_10071,RRES,RRES
Crew_10072,TATC,TATC
Crew_10073,VIOC,VIOC
Crew_10074,TATC,TATC
Crew_10075,RRES,RRES
Crew_10077,VIOC,VIOC
Crew_10078,VIOC,VIOC
Crew_10079,RTHW,RTHW
Crew_10080,RTHW,RTHW
Crew_10082,RRES,RRES
Crew_10086,VIOC,VIOC
Crew_10087,VIOC,VIOC
Crew_10088,VIOC,VIOC
Crew_10089,VIOC,VIOC
Crew_10090,RTHW,RTHW
Crew_10092,TATC,TATC
Crew_10093,DQUC,DQUC
Crew_10094,RRES,RRES
Crew_10095,VIOC,VIOC
Crew_10096,RRES,RRES
Crew_10097,BTTC,BTTC
Crew_10098,RTHW,RTHW
Crew_10099,RRES,RRES
Crew_10100,RRES,RRES
Crew_10101,VIOC,VIOC
Crew_10103,RRES,BTTC
Crew_10104,VIOC,VIOC
Crew_10105,VIOC,VIOC
Crew_10106,RRES,RRES
Crew_10107,VIOC,RTWL
Crew_10108,RRES,RRES
Crew_10109,RRES,RRES
Crew_10110,RRES,RRES
Crew_10113,RRES,RRES
Crew_10114,VIOC,VIOC
Crew_10115,RTHW,VWSF
Crew_10116,VIOC,JFEE
Crew_10117,TATC,TATC
Crew_10118,TATC,TATC
Crew_10119,VIOC,VIOC
Crew_10120,RRES,RRES
Crew_10123,RRES,ENDP
Crew_10124,RTHW,DQUC
Crew_10125,RTHW,SLPJ
Crew_10126,RTHW,TPWY
Crew_10127,ENDP,ENDP
Crew_10128,VIOC,VIOC
Crew_10129,VIOC,VIOC
Crew_10131,VIOC,VIOC
Crew_10133,VIOC,VIOC
Crew_10134,VIOC,RTWL
Crew_10135,RRES,RRES
Crew_10136,RRES,RRES
Crew_10137,RRES,RTWL
Crew_10138,VIOC,VIOC
Crew_10139,VIOC,VIOC
Crew_10140,VIOC,VIOC
Crew_10141,VIOC,UICV
Crew_10142,RRES,BTTC
Crew_10143,VIOC,VIOC
Crew_10145,RRES,RRES
Crew_10146,VIOC,VIOC
Crew_10147,VIOC,ENDP
Crew_10148,RTWL,RTWL
Crew_10150,RTHW,RTHW
Crew_10151,VIOC,VIOC
Crew_10152,RRES,RRES
Crew_10153,VIOC,VIOC
Crew_10155,VIOC,VIOC
Crew_10156,ENDP,ENDP
Crew_10157,RRES,RRES
Crew_10158,TATC,TATC
Crew_10159,RRES,RRES
Crew_10160,RRES,RRES
Crew_10162,ENDP,ENDP
Crew_10163,TATC,TATC
Crew_10165,BTTC,BTTC
Crew_10166,RRES,RRES
Crew_10167,RRES,RRES
Crew_10168,VIOC,VIOC
Crew_10169,VIOC,VIOC
Crew_10171,VIOC,VIOC
Crew_10172,RTHW,RTHW
Crew_10173,RRES,RRES
Crew_10174,ENDP,ENDP
Crew_10176,RRES,TPWY
Crew_10177,VIOC,VIOC
Crew_10178,VIOC,VIOC
Crew_10179,RTHW,RTHW
Crew_10180,RRES,RRES
Crew_10181,RTHW,TPWY
Crew_10182,RRES,RRES
Crew_10184,VIOC,WGAC
Crew_10185,RRES,MXYE
Crew_10186,VIOC,TPWY
Crew_10187,VIOC,VIOC
Crew_10190,TATC,IKRZ
Crew_10191,VIOC,VIOC
Crew_10192,RTHW,RTHW
