id,depaAirport,arriAirport,std,sta,fleet,aircraftNo,flyTime
Flt_15399,JZAO,VIOC,2025/5/1 10:20,2025/5/1 12:40,320,Aft_10001,174
Flt_15402,WGAC,TATC,2025/5/1 11:40,2025/5/1 15:00,320,Aft_10002,209
Flt_15403,TATC,WGAC,2025/5/1 7:50,2025/5/1 10:40,320,Aft_10002,176
Flt_15404,VIOC,MTLP,2025/5/1 11:00,2025/5/1 13:50,321,Aft_10003,151
Flt_15405,MTLP,VIOC,2025/5/1 15:10,2025/5/1 18:20,321,Aft_10003,186
Flt_15406,WCBM,VIOC,2025/5/1 14:35,2025/5/1 17:10,320,Aft_10004,175
Flt_15407,VIOC,WCBM,2025/5/1 10:40,2025/5/1 13:25,320,Aft_10004,150
Flt_15408,MELK,VIOC,2025/5/1 20:30,2025/5/1 23:15,320,Aft_10005,165
Flt_15409,VIOC,MELK,2025/5/1 17:10,2025/5/1 19:45,320,Aft_10005,138
Flt_15410,APXN,VIOC,2025/5/1 10:25,2025/5/1 11:50,320,Aft_10006,91
Flt_15411,ENDP,APXN,2025/5/1 8:05,2025/5/1 9:40,320,Aft_10006,112
Flt_15412,AVSX,VIOC,2025/5/1 17:15,2025/5/1 20:15,319,Aft_10007,172
Flt_15413,VIOC,APXN,2025/5/1 18:00,2025/5/1 19:35,320,Aft_10008,83
Flt_15414,RCDT,VIOC,2025/5/1 18:00,2025/5/1 20:35,320,Aft_10009,145
Flt_15415,RUYS,RCDT,2025/5/1 14:50,2025/5/1 17:00,320,Aft_10009,115
Flt_15416,RCDT,RUYS,2025/5/1 11:45,2025/5/1 13:50,320,Aft_10009,116
Flt_15417,VIOC,RCDT,2025/5/1 8:45,2025/5/1 10:55,320,Aft_10009,128
Flt_15418,VIOC,AVSX,2025/5/1 13:30,2025/5/1 16:15,319,Aft_10007,151
Flt_15419,UDGM,VIOC,2025/5/1 12:00,2025/5/1 14:25,321,Aft_10010,143
Flt_15420,VIOC,UDGM,2025/5/1 8:50,2025/5/1 11:10,321,Aft_10010,132
Flt_15421,VIOC,LCDP,2025/5/1 12:35,2025/5/1 17:00,320,Aft_10011,256
Flt_15422,LCDP,VIOC,2025/5/1 17:45,2025/5/1 21:50,320,Aft_10011,233
Flt_15423,UICV,VIOC,2025/5/1 18:25,2025/5/1 22:25,321,Aft_10012,235
Flt_15424,VIOC,UICV,2025/5/1 14:10,2025/5/1 17:25,321,Aft_10012,191
Flt_15425,RTWL,FDOQ,2025/5/1 8:10,2025/5/1 11:05,321,Aft_10013,174
Flt_15426,FDOQ,RTWL,2025/5/1 11:50,2025/5/1 14:40,321,Aft_10013,190
Flt_15427,NCJG,BTTC,2025/5/1 11:15,2025/5/1 14:40,320,Aft_10014,212
Flt_15428,ENDP,NCJG,2025/5/1 7:40,2025/5/1 10:30,320,Aft_10014,170
Flt_15429,NCJG,ENDP,2025/5/1 20:40,2025/5/1 23:30,320,Aft_10015,145
Flt_15430,BTTC,NCJG,2025/5/1 16:15,2025/5/1 19:30,320,Aft_10015,190
Flt_15431,HXHL,SLPJ,2025/5/1 20:05,2025/5/1 21:50,320,Aft_10016,120
Flt_15432,DQUC,HXHL,2025/5/1 17:00,2025/5/1 19:00,320,Aft_10016,124
Flt_15433,HXHL,DQUC,2025/5/1 13:50,2025/5/1 15:55,320,Aft_10016,131
Flt_15434,SLPJ,HXHL,2025/5/1 11:10,2025/5/1 13:00,320,Aft_10016,109
Flt_15435,XVFW,RTHW,2025/5/1 14:00,2025/5/1 17:05,320,Aft_10017,184
Flt_15436,RTHW,XVFW,2025/5/1 9:50,2025/5/1 13:10,320,Aft_10017,173
Flt_15437,PMXY,RTHW,2025/5/1 20:45,2025/5/1 23:15,320,Aft_10018,145
Flt_15438,WGAC,PMXY,2025/5/1 16:55,2025/5/1 19:55,320,Aft_10018,163
Flt_15439,PMXY,WGAC,2025/5/1 13:15,2025/5/1 15:45,320,Aft_10018,157
Flt_15440,RTHW,PMXY,2025/5/1 9:40,2025/5/1 12:25,320,Aft_10018,150
Flt_15441,AICJ,RTHW,2025/5/1 11:30,2025/5/1 14:35,321,Aft_10019,184
Flt_15442,TBXA,RTHW,2025/5/1 20:40,2025/5/1 22:30,320,Aft_10020,99
Flt_15443,XVFW,TBXA,2025/5/1 17:40,2025/5/1 19:50,320,Aft_10020,123
Flt_15444,TBXA,XVFW,2025/5/1 13:40,2025/5/1 15:35,320,Aft_10020,111
Flt_15445,RTHW,TBXA,2025/5/1 11:05,2025/5/1 12:45,320,Aft_10020,87
Flt_15446,RTHW,AICJ,2025/5/1 7:50,2025/5/1 10:40,321,Aft_10019,162
Flt_15447,MELK,RTWL,2025/5/1 20:35,2025/5/1 23:30,320,Aft_10021,186
Flt_15448,WGAC,MELK,2025/5/1 17:20,2025/5/1 19:50,320,Aft_10021,138
Flt_15449,MELK,WGAC,2025/5/1 13:45,2025/5/1 16:10,320,Aft_10021,142
Flt_15450,RTWL,MELK,2025/5/1 9:30,2025/5/1 12:40,320,Aft_10021,187
Flt_15451,MWQR,RTWL,2025/5/1 15:50,2025/5/1 17:35,321,Aft_10022,107
Flt_15452,TEEO,MWQR,2025/5/1 12:50,2025/5/1 14:50,321,Aft_10022,127
Flt_15453,MWQR,TEEO,2025/5/1 10:00,2025/5/1 12:00,321,Aft_10022,132
Flt_15454,RTWL,MWQR,2025/5/1 7:05,2025/5/1 9:00,321,Aft_10022,111
Flt_15455,EVBG,ENDP,2025/5/1 18:35,2025/5/1 21:20,321,Aft_10023,147
Flt_15456,ENDP,EVBG,2025/5/1 15:00,2025/5/1 17:50,321,Aft_10023,175
Flt_15457,SLPJ,ENDP,2025/5/1 19:15,2025/5/1 21:35,320,Aft_10024,141
Flt_15458,ENDP,SLPJ,2025/5/1 8:20,2025/5/1 10:55,320,Aft_10024,161
Flt_15459,XVFW,TPWY,2025/5/1 18:55,2025/5/1 21:20,320,Aft_10025,132
Flt_15460,TPWY,XVFW,2025/5/1 15:50,2025/5/1 18:05,320,Aft_10025,140
Flt_15461,VYPF,RRES,2025/5/1 10:25,2025/5/1 12:45,320,Aft_10026,152
Flt_15462,RRES,VYPF,2025/5/1 6:55,2025/5/1 9:35,320,Aft_10026,136
Flt_15463,VYPF,VIOC,2025/5/1 16:30,2025/5/1 19:05,320,Aft_10027,173
Flt_15464,VIOC,VYPF,2025/5/1 12:45,2025/5/1 15:35,320,Aft_10027,158
Flt_15465,VIOC,RTWL,2025/5/1 22:25,2025/5/2 0:40,321,Aft_10010,146
Flt_15468,VRYX,VIOC,2025/5/1 23:50,2025/5/2 1:20,320,Aft_10028,86
Flt_15469,VIOC,VRYX,2025/5/1 21:35,2025/5/1 23:00,320,Aft_10028,87
Flt_15470,RTHW,MXYE,2025/5/1 21:40,2025/5/1 23:40,320,Aft_10029,120
Flt_15471,VIOC,GVTG,2025/5/1 19:40,2025/5/2 0:05,320,Aft_10004,251
Flt_15472,VIOC,YTYE,2025/5/1 21:35,2025/5/2 2:40,321,Aft_10030,287
Flt_15474,VIOC,GDHI,2025/5/1 11:30,2025/5/1 13:50,321,Aft_10031,135
Flt_15476,GDHI,VIOC,2025/5/1 11:50,2025/5/1 14:25,321,Aft_10032,159
Flt_15477,VIOC,GDHI,2025/5/1 8:15,2025/5/1 10:35,321,Aft_10032,137
Flt_15485,STGW,VIOC,2025/5/1 20:50,2025/5/1 23:40,321,Aft_10033,166
Flt_15489,YTYE,SLPJ,2025/5/1 7:20,2025/5/1 10:50,321,Aft_10034,207
Flt_15490,GDHI,VIOC,2025/5/1 18:50,2025/5/1 21:30,319,Aft_10035,156
Flt_15492,VIOC,GDHI,2025/5/1 15:00,2025/5/1 17:35,319,Aft_10035,137
Flt_15494,GDHI,VIOC,2025/5/1 14:50,2025/5/1 17:25,321,Aft_10031,159
Flt_15496,AHZP,VIOC,2025/5/1 17:20,2025/5/1 19:35,321,Aft_10036,144
Flt_15497,VIOC,STGW,2025/5/1 6:40,2025/5/1 9:25,321,Aft_10037,144
Flt_15498,MTLP,VIOC,2025/5/1 11:55,2025/5/1 15:10,321,Aft_10038,199
Flt_15499,AICJ,VIOC,2025/5/1 17:55,2025/5/1 20:45,320,Aft_10039,184
Flt_15500,FDOQ,VIOC,2025/5/1 22:20,2025/5/2 1:00,321,Aft_10040,158
Flt_15501,VIOC,MTLP,2025/5/1 8:00,2025/5/1 10:45,321,Aft_10038,158
Flt_15502,STGW,VIOC,2025/5/1 18:20,2025/5/1 21:10,321,Aft_10037,168
Flt_15503,VIOC,AICJ,2025/5/1 14:15,2025/5/1 17:05,320,Aft_10041,156
Flt_15504,VIOC,FDOQ,2025/5/1 19:15,2025/5/1 21:35,321,Aft_10040,137
Flt_15505,XVFW,VIOC,2025/5/1 8:35,2025/5/1 11:15,321,Aft_10042,152
Flt_15506,MTLP,RRES,2025/5/1 22:10,2025/5/2 1:00,320,Aft_10043,172
Flt_15507,VIOC,XVFW,2025/5/1 20:40,2025/5/1 22:50,320,Aft_10027,131
Flt_15508,RRES,MTLP,2025/5/1 18:05,2025/5/1 20:50,320,Aft_10044,138
Flt_15510,MTLP,VIOC,2025/5/1 19:20,2025/5/1 22:25,321,Aft_10045,195
Flt_15511,XVFW,VIOC,2025/5/1 16:30,2025/5/1 18:50,321,Aft_10046,152
Flt_15512,VIOC,STGW,2025/5/1 17:20,2025/5/1 19:45,321,Aft_10033,141
Flt_15513,MTLP,RRES,2025/5/1 18:55,2025/5/1 22:00,321,Aft_10047,169
Flt_15514,VIOC,STGW,2025/5/1 14:45,2025/5/1 17:15,321,Aft_10037,140
Flt_15515,VIOC,MTLP,2025/5/1 15:15,2025/5/1 18:05,321,Aft_10045,156
Flt_15516,RRES,MTLP,2025/5/1 15:00,2025/5/1 17:35,321,Aft_10047,140
Flt_15517,VIOC,XVFW,2025/5/1 13:20,2025/5/1 15:30,321,Aft_10046,133
Flt_15518,MTLP,VIOC,2025/5/1 13:10,2025/5/1 16:25,321,Aft_10048,197
Flt_15519,XVFW,VIOC,2025/5/1 11:40,2025/5/1 14:10,321,Aft_10049,157
Flt_15521,MTLP,RRES,2025/5/1 11:05,2025/5/1 13:50,321,Aft_10050,171
Flt_15522,VIOC,MTLP,2025/5/1 9:00,2025/5/1 11:50,321,Aft_10048,157
Flt_15523,STGW,VIOC,2025/5/1 10:40,2025/5/1 13:30,321,Aft_10037,168
Flt_15524,RRES,MTLP,2025/5/1 7:15,2025/5/1 9:40,321,Aft_10050,142
Flt_15525,VIOC,XVFW,2025/5/1 8:15,2025/5/1 10:30,321,Aft_10049,136
Flt_15526,VIOC,AHZP,2025/5/1 14:15,2025/5/1 16:30,321,Aft_10036,121
Flt_15527,ENDP,VIOC,2025/5/1 10:55,2025/5/1 13:50,321,Aft_10045,183
Flt_15528,WCBM,VIOC,2025/5/1 19:55,2025/5/1 23:05,321,Aft_10049,181
Flt_15529,VIOC,VWSF,2025/5/1 13:30,2025/5/1 16:15,320,Aft_10028,152
Flt_15530,VIOC,ENDP,2025/5/1 7:00,2025/5/1 9:40,321,Aft_10045,152
