id,crewId,airport,startTime,endTime,isDuty
Grd_2124_10000,Crew_10002,RTWL,2025/5/6 8:00,2025/5/6 18:00,1
Grd_2124_10001,Crew_10002,RTWL,2025/5/7 8:00,2025/5/7 18:00,1
Grd_3114_10000,Crew_10004,VIOC,2025/5/6 8:00,2025/5/6 18:00,1
Grd_1741_10000,Crew_10006,RRES,2025/5/6 8:00,2025/5/6 18:00,1
Grd_2499_10000,Crew_10013,RTHW,2025/5/7 8:00,2025/5/7 18:00,1
Grd_2048_10000,Crew_10016,TATC,2025/5/7 8:00,2025/5/7 18:00,1
Grd_1444_10000,Crew_10019,RTHW,2025/5/3 0:00,2025/5/3 23:59,0
Grd_2152_10000,Crew_10024,VIOC,2025/5/1 8:00,2025/5/1 18:00,1
Grd_1726_10000,Crew_10026,RRES,2025/5/6 8:00,2025/5/6 18:00,1
Grd_1396_10000,Crew_10029,VIOC,2025/5/7 8:00,2025/5/7 18:00,1
Grd_1717_10000,Crew_10032,RRES,2025/5/6 8:00,2025/5/6 18:00,1
Grd_1717_10001,Crew_10032,RRES,2025/5/7 8:00,2025/5/7 18:00,1
Grd_1151_10000,Crew_10035,RRES,2025/5/6 8:00,2025/5/6 18:00,1
Grd_1155_10000,Crew_10046,VIOC,2025/5/4 8:00,2025/5/4 18:00,1
Grd_1155_10001,Crew_10046,VIOC,2025/5/5 8:00,2025/5/5 18:00,1
Grd_1155_10002,Crew_10046,VIOC,2025/5/6 8:00,2025/5/6 18:00,1
Grd_1155_10003,Crew_10046,VIOC,2025/5/7 8:00,2025/5/7 18:00,1
Grd_2155_10000,Crew_10048,RRES,2025/5/7 8:00,2025/5/7 18:00,1
Grd_1093_10000,Crew_10049,VIOC,2025/5/1 8:00,2025/5/1 18:00,1
Grd_1093_10001,Crew_10049,VIOC,2025/5/2 8:00,2025/5/2 18:00,1
Grd_1686_10000,Crew_10051,VIOC,2025/5/7 8:00,2025/5/7 18:00,1
Grd_1698_10000,Crew_10052,RRES,2025/5/6 8:00,2025/5/6 18:00,1
Grd_1733_10000,Crew_10054,VIOC,2025/5/1 0:00,2025/5/1 23:59,0
